"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
HQ4202;ULTRABOOST 1.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ4202-small.png;1 626;34;;28;;12
IY3397;COMMERCIAL PUFF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IY3397-small.png;1 622;27;;;264;
JR8772;SL 72 RS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8772-small.png;1 613;36;;16;;
GW9284;ADVANTAGE BASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW9284-small.png;1 610;39;78%;18;1 084;643
IH8595;RUN 70s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IH8595-small.png;1 606;36;83%;29;;15
IR5210;M Z.N.E. WV FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IR5210-small.png;1 605;24;;9;;4
JP5916;RUNFALCON 5 TR;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP5916-small.png;1 602;34;;2;;1
JP8552;RETROPY E5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JP8552-small.png;1 602;21;;51;;22
IK5024;OTR B PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IK5024-small.png;1 594;43;3111%;10;0;
HQ8708;CAMPUS 00s;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ8708-small.png;1 575;22;30%;;831;2909
H00354;RUN 60s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/H00354-small.png;1 572;39;-6%;30;;8
IQ2919;ADI GOLF TPR PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IQ2919-small.png;1 567;54;50%;5;;2
IS3681;W FI 3S FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IS3681-small.png;1 566;35;4%;10;;18
JI3087;OZMILLEN W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI3087-small.png;1 561;20;;60;1;43
JI1777;VL COURT BASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI1777-small.png;1 558;39;;24;;8
IW8534;M FI 3S PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IW8534-small.png;1 557;37;1005%;34;;119
KI1046;HOOPS CLASSIC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KI1046-small.png;1 551;37;;18;;63
IF4987;TERREX UNITY LEA MID CLD.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF4987-small.png;1 545;44;;;192;
IN9479;W FI 3S REG PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IN9479-small.png;1 544;34;-3%;30;82;196
IC9773;M ALL SZN PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC9773-small.png;1 536;39;5680%;1;;
JR0771;BARREDA DECODE EL C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR0771-small.png;1 526;47;;30;;35
IC9756;M ALL SZN SHO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC9756-small.png;1 521;43;;19;;5
ID4990;EVERYSET TRAINER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID4990-small.png;1 512;30;97%;17;;9
IF1541;PUREBOOST 23 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1541-small.png;1 500;34;183%;33;;29
IC1283;T SPW ANK 3P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC1283-small.png;1 500;237;1490%;42;175;19
